NºPer.;Desde*;Hasta*;Nombrto/Contrato;Razón de Alta;Plaza;RJ;Cláusula;T.Nombrto;Días;Puesto trabajo;GFH;Dirección;Puesto Sustitutido;Necesidad
00001138;15/01/2026;20260115;TEMPORAL. T. COM. INTER. N. ESTA;MES VENCIDO - INCAPACIDAD TEMPORAL;PINCHE;E;S_9B_1a;S9b1a;15;PINCHE;COCINA;DIRECCIÓN DE SERVICIOS GENERALES;PINCHE;0
00001139;19/01/2026;20260119;TEMPORAL. T. COM. INTER. N. ESTA;PERMISO INTERVENCIÓN QUIRÚRGICA FAMILIAR;PINCHE;E;S_9B_1a;S9b1a;4;PINCHE;COCINA;DIRECCIÓN DE SERVICIOS GENERALES;PINCHE;0
00001140;23/01/2026;20260123;TEMPORAL. T. COM. INTER. N. ESTA;MES VENCIDO - INCAPACIDAD TEMPORAL;PINCHE;E;S_9B_1a;S9b1a;3;PINCHE;COCINA;DIRECCIÓN DE SERVICIOS GENERALES;PINCHE;0
00001141;04/02/2026;20260204;TEMPORAL. T. COM. INTER. N. ESTA;MES ACTUAL - INCAPACIDAD TEMPORAL;PINCHE;E;S_9B_1a;S9b1a;10;PINCHE;COCINA;DIRECCIÓN DE SERVICIOS GENERALES;PINCHE;0
00001142;09/03/2026;20260309;TEMPORAL. T. COM. INTER. N. ESTA;MES VENCIDO - INCAPACIDAD TEMPORAL;PINCHE;E;S_9B_1a;S9b1a;27;PINCHE;COCINA;DIRECCIÓN DE SERVICIOS GENERALES;PINCHE;0
00001143;20/03/2026;20260320;TEMPORAL. T. COM. INTER. N. ESTA;MES VENCIDO - INCAPACIDAD TEMPORAL;PINCHE;E;S_9B_1a;S9b1a;5;PINCHE;COCINA;DIRECCIÓN DE SERVICIOS GENERALES;PINCHE;0
00001144;06/04/2026;20260406;TEMPORAL. T. COM. INTER. N. ESTA;MES ACTUAL - INCAPACIDAD TEMPORAL;PINCHE;E;S_9B_1a;S9b1a;15;PINCHE;COCINA;DIRECCIÓN DE SERVICIOS GENERALES;PINCHE;0
00001145;20/04/2026;20260420;TEMPORAL. T. COM. INTER. N. ESTA;MES VENCIDO - INCAPACIDAD TEMPORAL;PINCHE;E;S_9B_1a;S9b1a;14;PINCHE;COCINA;DIRECCIÓN DE SERVICIOS GENERALES;PINCHE;0
00001146;01/06/2026;20260601;TEMPORAL. T. COM. INTER. N. ESTA;MES VENCIDO - INCAPACIDAD TEMPORAL;PINCHE;E;S_9B_1a;S9b1a;42;PINCHE;COCINA;DIRECCIÓN DE SERVICIOS GENERALES;PINCHE;0
00001147;31/12/2026;20261231;TEMPORAL. T. COM. INTER. N. ESTA;INTERINO POR VACANTE;AUXILIAR DE ENFERMERÍA;E;I_9_1a;N91a;365;AUXILIAR DE ENFERMERÍA;PLANTA 8ª PAR - HOSP.EDIF.A;DIRECCIÓN DE ENFERMERÍA;;0
